report_date,origin,product,trim_pct,delivery,region,price_low,price_high,unit,basis,source_url
2018-11-28,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zc77st54n/zk51vm209/NW_LS421.TXT
2018-11-28,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zc77st54n/zk51vm209/NW_LS421.TXT
2018-11-30,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,182.00,182.50,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/jm214s98z/mc87pt890/NW_LS421.TXT
2018-11-30,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/jm214s98z/mc87pt890/NW_LS421.TXT
2018-11-30,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/jm214s98z/mc87pt890/NW_LS421.TXT
2018-11-30,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/jm214s98z/mc87pt890/NW_LS421.TXT
2018-11-30,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/jm214s98z/mc87pt890/NW_LS421.TXT
2018-11-30,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/jm214s98z/mc87pt890/NW_LS421.TXT
2018-11-30,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/jm214s98z/mc87pt890/NW_LS421.TXT
2018-11-30,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/jm214s98z/mc87pt890/NW_LS421.TXT
2018-12-05,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/9k41zj11p/bc386p12g/NW_LS421.TXT
2018-12-05,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/9k41zj11p/bc386p12g/NW_LS421.TXT
2018-12-05,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/9k41zj11p/bc386p12g/NW_LS421.TXT
2018-12-05,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/9k41zj11p/bc386p12g/NW_LS421.TXT
2018-12-05,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/9k41zj11p/bc386p12g/NW_LS421.TXT
2018-12-05,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/9k41zj11p/bc386p12g/NW_LS421.TXT
2018-12-05,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/9k41zj11p/bc386p12g/NW_LS421.TXT
2018-12-05,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/9k41zj11p/bc386p12g/NW_LS421.TXT
2018-12-07,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/mw22v930s/d791sm00n/NW_LS421.TXT
2018-12-07,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/mw22v930s/d791sm00n/NW_LS421.TXT
2018-12-07,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/mw22v930s/d791sm00n/NW_LS421.TXT
2018-12-07,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/mw22v930s/d791sm00n/NW_LS421.TXT
2018-12-07,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/mw22v930s/d791sm00n/NW_LS421.TXT
2018-12-07,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/mw22v930s/d791sm00n/NW_LS421.TXT
2018-12-07,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/mw22v930s/d791sm00n/NW_LS421.TXT
2018-12-07,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/mw22v930s/d791sm00n/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,189.00,190.00,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zp38wh36q/3n204328m/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,189.00,190.00,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/cc08hk477/f4752m715/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zp38wh36q/3n204328m/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/cc08hk477/f4752m715/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zp38wh36q/3n204328m/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/cc08hk477/f4752m715/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zp38wh36q/3n204328m/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/cc08hk477/f4752m715/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zp38wh36q/3n204328m/NW_LS421.TXT
2018-12-12,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/cc08hk477/f4752m715/NW_LS421.TXT
2018-12-12,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zp38wh36q/3n204328m/NW_LS421.TXT
2018-12-12,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/cc08hk477/f4752m715/NW_LS421.TXT
2018-12-12,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zp38wh36q/3n204328m/NW_LS421.TXT
2018-12-12,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/cc08hk477/f4752m715/NW_LS421.TXT
2018-12-12,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zp38wh36q/3n204328m/NW_LS421.TXT
2018-12-12,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/cc08hk477/f4752m715/NW_LS421.TXT
2018-12-14,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,189.00,190.00,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/dr26z221z/mp48sh87f/NW_LS421.TXT
2018-12-14,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/dr26z221z/mp48sh87f/NW_LS421.TXT
2018-12-14,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/dr26z221z/mp48sh87f/NW_LS421.TXT
2018-12-14,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/dr26z221z/mp48sh87f/NW_LS421.TXT
2018-12-14,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/dr26z221z/mp48sh87f/NW_LS421.TXT
2018-12-14,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/dr26z221z/mp48sh87f/NW_LS421.TXT
2018-12-14,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/dr26z221z/mp48sh87f/NW_LS421.TXT
2018-12-14,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/dr26z221z/mp48sh87f/NW_LS421.TXT
2018-12-19,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/gt54ks368/n009w617s/NW_LS421.TXT
2018-12-19,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/gt54ks368/n009w617s/NW_LS421.TXT
2018-12-19,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/gt54ks368/n009w617s/NW_LS421.TXT
2018-12-19,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/gt54ks368/n009w617s/NW_LS421.TXT
2018-12-19,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/gt54ks368/n009w617s/NW_LS421.TXT
2018-12-19,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/gt54ks368/n009w617s/NW_LS421.TXT
2018-12-19,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/gt54ks368/n009w617s/NW_LS421.TXT
2018-12-19,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/gt54ks368/n009w617s/NW_LS421.TXT
2018-12-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4m90f084k/47429f490/NW_LS421.TXT
2018-12-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4m90f084k/47429f490/NW_LS421.TXT
2018-12-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4m90f084k/47429f490/NW_LS421.TXT
2018-12-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4m90f084k/47429f490/NW_LS421.TXT
2018-12-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4m90f084k/47429f490/NW_LS421.TXT
2018-12-21,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4m90f084k/47429f490/NW_LS421.TXT
2018-12-21,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4m90f084k/47429f490/NW_LS421.TXT
2018-12-21,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4m90f084k/47429f490/NW_LS421.TXT
2018-12-26,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4j03d386x/mp48sj12k/NW_LS421.TXT
2018-12-26,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4j03d386x/mp48sj12k/NW_LS421.TXT
2018-12-26,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4j03d386x/mp48sj12k/NW_LS421.TXT
2018-12-26,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4j03d386x/mp48sj12k/NW_LS421.TXT
2018-12-26,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4j03d386x/mp48sj12k/NW_LS421.TXT
2018-12-26,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4j03d386x/mp48sj12k/NW_LS421.TXT
2018-12-26,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4j03d386x/mp48sj12k/NW_LS421.TXT
2018-12-26,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/4j03d386x/mp48sj12k/NW_LS421.TXT
2018-12-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/j96025030/zw12z987p/NW_LS421.TXT
2018-12-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/j96025030/zw12z987p/NW_LS421.TXT
2018-12-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/j96025030/zw12z987p/NW_LS421.TXT
2018-12-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/j96025030/zw12z987p/NW_LS421.TXT
2018-12-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/j96025030/zw12z987p/NW_LS421.TXT
2018-12-28,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/j96025030/zw12z987p/NW_LS421.TXT
2018-12-28,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/j96025030/zw12z987p/NW_LS421.TXT
2018-12-28,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/j96025030/zw12z987p/NW_LS421.TXT
2019-01-02,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/g158bn501/w0892g51p/NW_LS421.TXT
2019-01-02,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/g158bn501/w0892g51p/NW_LS421.TXT
2019-01-02,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/g158bn501/w0892g51p/NW_LS421.TXT
2019-01-02,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/g158bn501/w0892g51p/NW_LS421.TXT
2019-01-02,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/g158bn501/w0892g51p/NW_LS421.TXT
2019-01-02,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/g158bn501/w0892g51p/NW_LS421.TXT
2019-01-02,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/g158bn501/w0892g51p/NW_LS421.TXT
2019-01-02,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/g158bn501/w0892g51p/NW_LS421.TXT
2019-01-04,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/tt44ps44q/cj82kc83j/NW_LS421.TXT
2019-01-04,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/tt44ps44q/cj82kc83j/NW_LS421.TXT
2019-01-04,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/tt44ps44q/cj82kc83j/NW_LS421.TXT
2019-01-04,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/tt44ps44q/cj82kc83j/NW_LS421.TXT
2019-01-04,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/tt44ps44q/cj82kc83j/NW_LS421.TXT
2019-01-04,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/tt44ps44q/cj82kc83j/NW_LS421.TXT
2019-01-04,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/tt44ps44q/cj82kc83j/NW_LS421.TXT
2019-01-04,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/tt44ps44q/cj82kc83j/NW_LS421.TXT
2019-01-09,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,191.00,192.00,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/sj1396783/hq37vt31h/NW_LS421.TXT
2019-01-09,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/sj1396783/hq37vt31h/NW_LS421.TXT
2019-01-09,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/sj1396783/hq37vt31h/NW_LS421.TXT
2019-01-09,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/sj1396783/hq37vt31h/NW_LS421.TXT
2019-01-09,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/sj1396783/hq37vt31h/NW_LS421.TXT
2019-01-09,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/sj1396783/hq37vt31h/NW_LS421.TXT
2019-01-09,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/sj1396783/hq37vt31h/NW_LS421.TXT
2019-01-09,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/sj1396783/hq37vt31h/NW_LS421.TXT
2019-01-11,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,191.00,192.00,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/5q47rt40q/m039k9883/NW_LS421.TXT
